,ID,Case Number,Date,Block,IUCR,primarytype,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,day,hour,year,month,week,ymd,time
1,10011055,HY200230,3/27/2015 8:00,078XX W SEMINOLE ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1613,16,41,10,5,1123263,1936931,2015,4/3/2015 12:48,41.98333197,-87.82203818,"(41.983331972, -87.822038177)",86,8,2015,3,13,3/27/2015,1902
2,10008834,HY198395,3/25/2015 17:30,061XX N NORTHWEST HWY,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1612,16,41,10,5,1129135,1940490,2015,4/1/2015 12:59,41.99299999,-87.80036016,"(41.992999987, -87.800360162)",84,17,2015,3,13,3/25/2015,1900
3,9996820,HY187107,3/16/2015 7:30,069XX W FOSTER AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1613,16,41,10,5,1128995,1934168,2015,3/23/2015 12:42,41.9756542,-87.80101967,"(41.975654195, -87.801019673)",75,7,2015,3,11,3/16/2015,1891
4,9992104,HY181801,3/12/2015 16:50,050XX N OTTAWA AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1613,16,41,10,5,1124287,1933191,2015,3/19/2015 12:40,41.97305217,-87.81835471,"(41.973052173, -87.818354706)",71,16,2015,3,11,3/12/2015,1887
5,9982105,HY171529,3/4/2015 1:45,060XX N NORTHWEST HWY,620,BURGLARY,UNLAWFUL ENTRY,TAVERN/LIQUOR STORE,FALSE,FALSE,1612,16,41,10,5,1129764,1939994,2015,3/11/2015 12:43,41.99162815,-87.79805783,"(41.991628152, -87.798057827)",63,1,2015,3,10,3/4/2015,1879
6,9983687,HY172806,2/28/2015 9:00,063XX W DEVON AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1611,16,45,10,5,1132881,1942067,2015,3/7/2015 12:42,41.99726261,-87.78654371,"(41.997262608, -87.786543705)",59,9,2015,2,9,2/28/2015,1875
7,9966951,HY156220,2/18/2015 19:00,049XX N NATCHEZ AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1613,16,41,10,5,1132184,1932344,2015,2/25/2015 12:47,41.97059399,-87.78933492,"(41.970593985, -87.789334917)",49,19,2015,2,8,2/18/2015,1865
8,9966949,HY156229,2/18/2015 18:50,049XX N NAGLE AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1613,16,41,10,5,1132514,1932386,2015,2/25/2015 12:47,41.97070348,-87.78812048,"(41.970703481, -87.788120477)",49,18,2015,2,8,2/18/2015,1865
9,9964677,HY154164,2/17/2015 4:30,082XX W HIGGINS RD,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,FALSE,FALSE,1614,16,41,10,5,1120377,1937784,2015,2/24/2015 12:49,41.98571948,-87.83263426,"(41.985719482, -87.83263426)",48,4,2015,2,7,2/17/2015,1864
10,9968850,HY157964,2/17/2015 0:01,074XX W GREGORY ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1613,16,41,10,5,1125671,1936285,2015,2/24/2015 12:49,41.9815195,-87.81319624,"(41.981519495, -87.813196238)",48,0,2015,2,7,2/17/2015,1864
11,9962284,HY151098,2/14/2015 3:40,060XX N NORTHWEST HWY,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,FALSE,FALSE,1611,16,41,10,5,1130356,1939648,2015,2/21/2015 12:48,41.99066852,-87.79588823,"(41.990668522, -87.795888226)",45,3,2015,2,7,2/14/2015,1861
12,9946673,HY134824,1/30/2015 20:00,049XX N NATOMA AVE,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1613,16,41,10,5,1131278,1932544,2015,2/6/2015 12:40,41.97115854,-87.79266177,"(41.971158543, -87.79266177)",30,20,2015,1,5,1/30/2015,1846
13,9946414,HY134323,1/29/2015 7:00,059XX N NEVA AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1612,16,41,10,5,1127663,1939117,2015,2/5/2015 12:49,41.98925736,-87.80580594,"(41.989257355, -87.805805941)",29,7,2015,1,5,1/29/2015,1845
14,9939544,HY128420,1/25/2015 9:00,048XX N NAGLE AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,1613,16,41,10,5,1132512,1932091,2015,2/1/2015 12:44,41.96989401,-87.78813473,"(41.969894007, -87.788134734)",25,9,2015,1,4,1/25/2015,1841
15,9938958,HY127717,1/24/2015 23:19,059XX N NORTHWEST HWY,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,FALSE,FALSE,1611,16,41,10,5,1131487,1938813,2015,1/31/2015 12:47,41.98835765,-87.79174749,"(41.988357654, -87.791747489)",24,23,2015,1,4,1/24/2015,1840
16,9938449,HY126391,1/23/2015 21:25,053XX N NEENAH AVE,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1613,16,41,10,5,1131956,1935001,2015,1/30/2015 12:51,41.97788902,-87.79011135,"(41.977889021, -87.790111353)",23,21,2015,1,4,1/23/2015,1839
17,9936390,HY125190,1/22/2015 16:30,051XX N NAGLE AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1613,16,41,10,5,1132526,1933778,2015,1/29/2015 12:53,41.97452306,-87.78804377,"(41.974523055, -87.788043771)",22,16,2015,1,4,1/22/2015,1838
18,9929789,HY118259,1/16/2015 19:00,070XX W BERWYN AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1613,16,41,10,5,1128554,1934663,2015,1/23/2015 12:48,41.97702003,-87.80263015,"(41.977020034, -87.802630148)",16,19,2015,1,3,1/16/2015,1832
19,9929324,HY117727,1/16/2015 5:30,062XX W HOLBROOK ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1611,16,45,10,5,1133330,1939942,2015,1/23/2015 12:48,41.99142355,-87.78494204,"(41.991423548, -87.78494204)",16,5,2015,1,3,1/16/2015,1832
20,9921195,HY110207,1/10/2015 14:00,060XX N HARLEM AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1612,16,41,10,5,1127332,1939800,2015,1/17/2015 12:47,41.99113716,-87.807008,"(41.991137162, -87.807007995)",10,14,2015,1,2,1/10/2015,1826
21,9914973,HY104239,1/4/2015 17:00,051XX N NORMANDY AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1613,16,41,10,5,1130957,1933694,2015,1/18/2015 12:42,41.97431981,-87.79381551,"(41.974319811, -87.793815514)",4,17,2015,1,1,1/4/2015,1820
22,9913626,HY101897,1/2/2015 11:00,055XX N CUMBERLAND AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1614,16,41,10,5,1119354,1936013,2015,1/9/2015 12:40,41.98087601,-87.83643469,"(41.980876008, -87.836434686)",2,11,2015,1,1,1/2/2015,1818
23,9912672,HY100930,12/31/2014 12:00,058XX N OTTAWA AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1612,16,41,10,5,1124383,1937862,2014,1/7/2015 12:42,41.98586831,-87.81789833,"(41.985868313, -87.817898328)",365,12,2014,12,53,12/31/2014,1816
24,9909750,HX559869,12/30/2014 15:00,052XX N NEW ENGLAND AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,TRUE,FALSE,1613,16,41,10,5,1129646,1934457,2014,1/11/2015 12:37,41.97643612,-87.79861902,"(41.976436115, -87.798619024)",364,15,2014,12,53,12/30/2014,1815
25,9909475,HX559917,12/30/2014 7:45,053XX N NEWCASTLE AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1613,16,41,10,5,1129978,1934820,2014,1/6/2015 12:42,41.97742653,-87.79738975,"(41.977426529, -87.797389747)",364,7,2014,12,53,12/30/2014,1815
26,9909570,HX560082,12/30/2014 7:30,055XX N MONTCLARE AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1613,16,41,10,5,1128035,1936279,2014,1/6/2015 12:42,41.98146331,-87.80450209,"(41.981463309, -87.804502093)",364,7,2014,12,53,12/30/2014,1815
27,9906307,HX557059,12/27/2014 19:00,063XX W HYACINTH ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1611,16,45,10,5,1132993,1940013,2014,1/3/2015 12:43,41.99162429,-87.78617997,"(41.991624293, -87.786179972)",361,19,2014,12,52,12/27/2014,1812
28,9906294,HX556972,12/27/2014 17:00,081XX W FARRAGUT AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1614,16,41,10,5,1121199,1933676,2014,1/3/2015 12:43,41.97443345,-87.82969975,"(41.974433445, -87.829699749)",361,17,2014,12,52,12/27/2014,1812
29,9906292,HX556888,12/27/2014 16:30,064XX W FOSTER AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1613,16,41,10,5,1132003,1934220,2014,1/3/2015 12:43,41.97574506,-87.78995673,"(41.975745064, -87.789956726)",361,16,2014,12,52,12/27/2014,1812
30,9904687,HX554943,12/25/2014 16:15,051XX N NATCHEZ AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1613,16,41,10,5,1132276,1933717,2014,1/1/2015 12:40,41.97436003,-87.78896454,"(41.974360028, -87.788964539)",359,16,2014,12,52,12/25/2014,1810
