beat,time,eknox600ft,eknox1200ft,eknox1800ft,eknox2400ft,eknox3000ft,p600ft,p1200ft,p1800ft,p2400ft,p3000ft
beat912,1,1.46666666667,4.83333333333,8.83333333333,13.4166666667,17.7166666667,0.37000000,0.13000000,0.23000000,0.11000000,0.08000000
beat912,4,5.31666666667,17.75,33.55,46.4166666667,61.9666666667,0.02000000,0.02000000,0.01000000,0.02000000,0.12000000
beat912,7,9.58333333333,36.6833333333,63.8833333333,86.45,111.816666667,0.16000000,0.10000000,0.03000000,0.02000000,0.22000000
beat912,10,13.2166666667,44.4333333333,83.6333333333,117.333333333,151.116666667,0.25000000,0.20000000,0.12000000,0.08000000,0.63000000
beat912,13,15.7166666667,52.6833333333,94.9,131.983333333,174.083333333,0.36000000,0.12000000,0.08000000,0.08000000,0.41000000
beat824,1,4.41176470588,18.4117647059,34.3823529412,48.6862745098,62.4803921569,0.30000000,0.22000000,0.14000000,0.10000000,0.06000000
beat824,4,12.0294117647,45.7254901961,83.4215686275,125.166666667,165.5,0.23000000,0.03000000,0.04000000,0.04000000,0.06000000
beat824,7,18.8431372549,72.0196078431,135.254901961,198.901960784,262.245098039,0.13000000,0.07000000,0.05000000,0.13000000,0.10000000
beat824,10,25.3431372549,102.009803922,192.166666667,266.470588235,355.921568627,0.21000000,0.10000000,0.07000000,0.13000000,0.20000000
beat824,13,35.068627451,134.843137255,246.970588235,363.480392157,475.31372549,0.08000000,0.10000000,0.03000000,0.04000000,0.07000000
beat711,1,1.97916666667,5.22916666667,9.02083333333,12.1666666667,17.9375,0.36000000,0.74000000,0.70000000,0.39000000,0.12000000
beat711,4,5.16666666667,14.5416666667,24.375,36.3541666667,52.3958333333,0.53000000,0.91000000,0.79000000,0.77000000,0.97000000
beat711,7,8.97916666667,24.375,40.4583333333,61.9583333333,83.9375,0.23000000,0.57000000,0.47000000,0.69000000,0.82000000
beat711,10,11.9791666667,33.5625,56.2916666667,86.2916666667,121.604166667,0.43000000,0.66000000,0.57000000,0.56000000,0.70000000
beat711,13,14.2916666667,42.6041666667,72.3125,106.729166667,152.375,0.65000000,0.79000000,0.65000000,0.77000000,0.78000000
beat512,1,4.02884615385,12.9423076923,25.9711538462,41.8461538462,50.7115384615,0.76000000,0.49000000,0.68000000,0.76000000,0.89000000
beat512,4,11.9711538462,39.8942307692,78.8269230769,121.509615385,153.932692308,0.49000000,0.04000000,0.23000000,0.29000000,0.73000000
beat512,7,19.9038461538,69.375,133.913461538,203.644230769,254.278846154,0.32000000,0.04000000,0.06000000,0.21000000,0.69000000
beat512,10,28.4423076923,97.3942307692,193.153846154,292.884615385,366.798076923,0.20000000,0.08000000,0.07000000,0.27000000,0.65000000
beat512,13,38.625,132.528846154,259.144230769,390.894230769,485.230769231,0.31000000,0.22000000,0.07000000,0.28000000,0.77000000
beat713,1,7.20253164557,23.0506329114,38.9620253165,52.9240506329,68.9367088608,0.37000000,0.71000000,0.68000000,0.67000000,0.37000000
beat713,4,19.1139240506,64.2151898734,111.113924051,146.708860759,183.265822785,0.29000000,0.55000000,0.55000000,0.56000000,0.41000000
beat713,7,28.4050632911,99.1265822785,157.772151899,208.139240506,243.392405063,0.32000000,0.55000000,0.86000000,0.93000000,0.81000000
beat713,10,42.3544303797,128.050632911,215.658227848,282.949367089,343.886075949,0.29000000,0.46000000,0.84000000,0.87000000,0.83000000
beat713,13,51.5569620253,165.012658228,246.265822785,322.481012658,397.455696203,0.26000000,0.40000000,0.83000000,0.90000000,0.85000000
beat735,1,2.92207792208,14.1428571429,25.4415584416,35.2727272727,42.8701298701,0.11000000,0.08000000,0.24000000,0.68000000,0.36000000
beat735,4,10.4675324675,37.025974026,65.0909090909,98.5974025974,121.012987013,0.13000000,0.09000000,0.38000000,0.06000000,0.25000000
