beat,time,knox600ft,knox1200ft,knox1800ft,knox2400ft,knox3000ft,p600ft,p1200ft,p1800ft,p2400ft,p3000ft
beat912,1,1.78333333333,7.30833333333,10.55,16.2166666667,21.45,0.36000000,0.15000000,0.26000000,0.06000000,0.14000000
beat912,4,8.70833333333,22.5083333333,38.2416666667,53.55,61.3583333333,0.02000000,0.08000000,0.03000000,0.03000000,0.09000000
beat912,7,10.625,39.875,67.9416666667,94.375,114.666666667,0.20000000,0.13000000,0.04000000,0.06000000,0.25000000
beat912,10,13.7,49.35,91.6583333333,120.833333333,144.833333333,0.35000000,0.08000000,0.17000000,0.08000000,0.63000000
beat912,13,16.7583333333,61.3833333333,106.8,142.533333333,179.9,0.34000000,0.12000000,0.06000000,0.07000000,0.45000000
beat824,1,5.98039215686,20.8235294118,38.75,53.8480392157,71.362745098,0.27000000,0.28000000,0.11000000,0.12000000,0.01000000
beat824,4,14.6715686275,53.1862745098,95.7941176471,133.289215686,174.034313725,0.17000000,0.05000000,0.01000000,0.03000000,0.03000000
beat824,7,22.8382352941,83.4264705882,149.539215686,207.887254902,268.960784314,0.13000000,0.07000000,0.03000000,0.05000000,0.15000000
beat824,10,30.0098039216,106.544117647,204.504901961,285.421568627,371.12254902,0.14000000,0.25000000,0.06000000,0.15000000,0.28000000
beat824,13,41.0931372549,139.539215686,270.583333333,386.647058824,487.607843137,0.09000000,0.14000000,0.02000000,0.06000000,0.09000000
beat711,1,1.92708333333,3.46875,6.6875,12.7395833333,19.6666666667,0.39000000,0.77000000,0.66000000,0.45000000,0.10000000
beat711,4,5.0,11.9791666667,22.9479166667,35.0416666667,48.7291666667,0.47000000,0.87000000,0.77000000,0.85000000,0.91000000
beat711,7,9.34375,21.8541666667,41.7083333333,57.0208333333,81.09375,0.29000000,0.67000000,0.46000000,0.59000000,0.75000000
beat711,10,12.7291666667,31.9270833333,56.8020833333,83.8645833333,115.5625,0.46000000,0.66000000,0.55000000,0.51000000,0.79000000
beat711,13,13.7291666667,38.1875,69.6458333333,101.822916667,149.78125,0.64000000,0.81000000,0.76000000,0.88000000,0.68000000
beat512,1,3.26923076923,13.1298076923,23.2644230769,38.6778846154,46.5,0.74000000,0.40000000,0.71000000,0.80000000,0.93000000
beat512,4,11.4903846154,49.1923076923,87.6923076923,124.25,148.466346154,0.54000000,0.02000000,0.30000000,0.17000000,0.67000000
beat512,7,21.4230769231,78.4086538462,147.341346154,209.326923077,248.524038462,0.32000000,0.01000000,0.12000000,0.19000000,0.63000000
