beat,block,tract,knox_sum
912,5905001019,590500,2.95326660354
2413,208023005,20802,0.0
815,5702001037,570200,0.0
1915,314002002,31400,4.24617680505
1611,1001001002,100100,0.0
924,6103002020,610300,1.04888888889
1413,2211003016,221100,2.93066350406
2522,1910002003,191000,4.90641010014
823,6606004004,660600,3.01281268884
823,6606004005,660600,3.01281268884
823,6606004006,660600,3.01281268884
1022,8417001005,841700,2.97637365212
823,6606004001,660600,3.01281268884
821,5704001007,570400,0.913734939756
921,5807002007,580700,3.36761054584
921,5807002003,580700,4.22307914634
931,6113003008,611300,1.92614882019
131,8410001028,841000,3.71382513261
1011,2909001002,290900,5.21446194287
1432,8309001040,830900,1.86300463072
1112,2312003007,231200,4.04942956265
1011,2909001006,290900,6.25476268659
814,8352001020,835200,1.97884517638
831,6608004002,660800,2.79487822354
831,6608004000,660800,2.79487822354
831,6608004001,660800,1.8913009209
2222,7302021018,730202,2.58392965565
831,6608004007,660800,1.96663894052
1621,1204003000,120400,0.750000000002
1233,3106002000,310600,1.02000000002
1233,3106002009,310600,2.44086021506
2514,1903003014,190300,1.05012277914
1523,2519002005,251900,0.992774566475
1711,1301003002,130100,2.1026097863
1711,1301003003,130100,1.09210526317
2024,312004003,31200,0.936363636362
1212,2425002017,242500,5.0068280828
1211,2425002015,242500,3.8275393163
2433,302001018,30200,4.37872038348
411,8343006023,834300,3.80675360978
631,4403005011,440300,0.998989567972
631,4403004010,440300,1.84261263865
2411,203023008,20302,0.0
1121,8366001025,836600,0.745535714284
524,5305011040,530501,1.88412472652
513,4910004033,491000,8.31423255167
1614,7608033000,760803,0.0
1731,1510022019,151002,0.880915438316
1731,1510022014,151002,0.93738779174
1731,1510022016,151002,1.87477558348
1132,2610002010,261000,2.2604617007
2223,7305004000,730500,4.7706969859
2531,2504003003,250400,0.0
2514,1904021029,190402,0.0
2531,2504003007,250400,0.0
833,7002001007,700200,1.11195779601
833,7002001005,700200,2.18974223261
834,7004023025,700402,0.837126600284
1731,1612002011,161200,0.93738779174
833,7002001009,700200,1.11195779601
1813,717001002,71700,-0.555555555556
511,4905002035,490500,6.44856398886
422,4603024003,460302,3.90926487792
2535,2307003011,230700,6.1257580618
2233,4911003013,491100,6.16564415243
2525,2209021002,220902,2.03981623899
2525,2209021000,220902,0.976531942633
1731,1613004001,161300,1.84067997281
412,4503003010,450300,2.58158910286
726,6713001013,671300,2.09605110637
726,6713001012,671300,3.21858939957
1212,2423001010,242300,10.9073653162
726,6713001014,671300,3.10176756979
812,6406002006,640600,1.30510416666
411,8343001013,834300,13.2080956607
411,8343001010,834300,10.9089072774
422,4604001002,460400,7.03075462795
1633,1506001015,150600,6.98648908726
512,5002001005,500200,2.84666831702
1722,1602004023,160200,1.98654443891
1722,1602004022,160200,0.996365105007
1014,2922002008,292200,2.04649104746
512,4909022048,490902,9.91921320183
1013,3005001006,300500,2.10235206981
