,expected_value_600,expected_value_1200,expected_value_1800,expected_value_2400,expected_value_3000,Score
5002001007,1.73,0,0,0.904615247,0.991181727,3.625796974
5002001018,1.73,0,0,0.904615247,0.991181727,3.625796974
5002002018,1.63,0,0,0.935847598,0,2.565847598
5002002008,1.63,0,0,0.935847598,0,2.565847598
5002002023,1.63,0,0,0.935847598,0,2.565847598
5002002020,1.63,0,0,0.935847598,0.994493539,3.560341137
5002002011,1.63,0,0.883219081,0,0.994493539,3.50771262
5002002019,1.63,0,0,0.935847598,0,2.565847598
5002002021,1.63,0,0,0.935847598,0,2.565847598
5002002022,1.63,0,0,0.935847598,0,2.565847598
5002002009,1.63,0,0,0.935847598,0.994493539,3.560341137
5001003023,0,0,0,0,0,0
5001003023,0,0,0,0,0,0
5001003023,0,0,0,0,0,0
5001003023,0,0,0,0,0,0
5001003023,0,0,0,0,0,0
5002001020,0,0,0.443545898,0,0.836697248,1.280243146
5002001020,0,0,0,0,0,0
5002001020,0,0,0,0,0.996738996,0.996738996
5002001020,0,0.820635654,0,0.935847598,0.994493539,2.750976791
5002001020,0,0.736676232,0.833436341,0,0.991181727,2.5612943
5003002016,0,0,0,0,0,0
5003002016,0,0,0,0,0,0
5003002016,0,2.664464025,0,0,0,2.664464025
5003002016,0,0,0,0,0,0
5003002016,0,0,0,0,0.991181727,0.991181727
5003002012,0,0,0,0,0,0
5003002012,0,0,0,0,0,0
5003002012,0,0.888154675,1.846178374,0,0,2.734333049
5003002012,0,0,0,0,0,0
5003002012,0,0,0,0.904615247,0,0.904615247
5002002018,0,0,0,0.49626506,0,0.49626506
5002002018,0,0,0,0,0,0
5002002018,0,0,0,0,0,0
5002002018,0,0,0.833436341,0.904615247,0.991181727,2.729233315
5002002008,0,0,0,0.49626506,0.418348624,0.914613684
5002002008,0,0,0,0,0,0
5002002008,0,0,0,0,0,0
5002002008,0,0,0.833436341,0.904615247,0.991181727,2.729233315
5003001010,0,0,0,0,0,0
5003001010,0,0,0,0,0,0
5003001010,0,0,0,0.953866933,1.993477992,2.947344925
5003001010,0,0,0,0,0,0
5003001010,0,0,0,0.904615247,0,0.904615247
5003001020,0,0,0,0,0,0
