block,community_area,tract,600ft,1200ft,1800ft,2400ft,3000ft,Score
301022001,77,30102,4.802143267,1.008808779,2.42498703,0,0,8.235939076
302002001,77,30200,3.204154241,2.808914813,0.566731592,0.635285289,0.999079127,8.214165062
302001016,77,30200,3.227654594,0,2.536712244,1.625049892,0.708703659,8.098120389
302001015,77,30200,3.227654594,2.498897499,0.566731592,0,1.707782786,8.001066471
301031000,77,30103,4.810319456,0,1.439996704,1.625049892,0,7.875366052
301031003,77,30103,4.810319456,0.791297255,1.551721918,0,0.708703659,7.862042288
302001012,77,30200,4.810319456,0.791297255,1.551721918,0,0.708703659,7.862042288
302001013,77,30200,4.810319456,1.800106034,0.566731592,0.635285289,0,7.812442371
301031002,77,30103,4.810319456,0.481279941,1.858255438,0.635285289,0,7.785140124
302001011,77,30200,3.21233043,1.272577196,1.551721918,0,1.707782786,7.74441233
301013000,77,30101,1.597989026,0.481279941,1.551721918,0.989764603,2.988344269,7.609099757
301013001,77,30101,1.597989026,0.481279941,1.551721918,1.979529206,1.989265142,7.599785233
301011001,77,30101,1.597989026,0.481279941,2.536712244,0.989764603,1.989265142,7.595010956
301011002,77,30101,1.597989026,0.481279941,2.536712244,1.936160878,0.993894722,7.546036811
302001008,77,30200,1.621489379,3.507706278,0,0.635285289,1.707782786,7.472263732
302001007,77,30200,1.621489379,3.507706278,0,1.625049892,0.708703659,7.462949208
302003007,77,30200,1.606165215,0,0.873265112,4.239864387,0.708703659,7.427998373
302001009,77,30200,1.621489379,3.507706278,0.566731592,0,1.707782786,7.403710035
302003010,77,30200,0,1.008808779,0,1.936160878,4.410935992,7.355905649
302003004,77,30200,1.606165215,0.791297255,0.984990326,3.250099784,0.708703659,7.341256239
