,community_area,block,days_from_end,X600,knox600,p.value,X1200,knox1200,p.value.1,X1800,knox1800,p.value.2,X2400,knox2400,p.value.3,X3000,knox3000,p.value.4,expected_value_600,expected_value_1200,expected_value_1800,expected_value_2400,expected_value_3000,Score
2621,50,5001003023,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,0,0.49626506,0.22,0,0.418348624,1,0,0,0,0,0,0.00
2622,50,5001003023,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
2623,50,5001003023,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0,0,0,0,0.00
2624,50,5001003023,t-11,0,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,0,0.935847598,0.07,0,0.994493539,1,0,0,0,0,0,0.00
2625,50,5001003023,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,0,0.904615247,0.02,0,0.991181727,1,0,0,0,0,0,0.00
4366,50,5002001020,t-2,0,1.66298078,0.01,0,0.54064677,0.01,1,0.443545898,0.01,0,0.49626506,0.22,2,0.418348624,1,0,0,0.443545898,0,0.836697248,1.28
4367,50,5002001020,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
4368,50,5002001020,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,1,0.996738996,1,0,0,0,0,0.996738996,1.00
4369,50,5002001020,t-11,0,1.630250706,0.01,1,0.820635654,0.01,0,0.883219081,0.01,1,0.935847598,0.07,1,0.994493539,1,0,0.820635654,0,0.935847598,0.994493539,2.75
4370,50,5002001020,t-14,0,1.733649662,0.01,1,0.736676232,0.01,1,0.833436341,0.01,0,0.904615247,0.02,1,0.991181727,1,0,0.736676232,0.833436341,0,0.991181727,2.56
4856,50,5003002016,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,0,0.49626506,0.22,0,0.418348624,1,0,0,0,0,0,0.00
4857,50,5003002016,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
4858,50,5003002016,t-8,0,1.701830737,0.01,3,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,2.664464025,0,0,0,2.66
4859,50,5003002016,t-11,0,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,0,0.935847598,0.07,0,0.994493539,1,0,0,0,0,0,0.00
4860,50,5003002016,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,0,0.904615247,0.02,1,0.991181727,1,0,0,0,0,0.991181727,0.99
5261,50,5003002012,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,0,0.49626506,0.22,0,0.418348624,1,0,0,0,0,0,0.00
5262,50,5003002012,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
5263,50,5003002012,t-8,0,1.701830737,0.01,1,0.888154675,0.01,2,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0.888154675,1.846178374,0,0,2.73
5264,50,5003002012,t-11,0,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,0,0.935847598,0.07,0,0.994493539,1,0,0,0,0,0,0.00
5265,50,5003002012,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,1,0.904615247,0.02,0,0.991181727,1,0,0,0,0.904615247,0,0.90
8946,50,5002002018,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,1,0.49626506,0.22,0,0.418348624,1,0,0,0,0.49626506,0,0.50
8947,50,5002002018,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
8948,50,5002002018,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0,0,0,0,0.00
8949,50,5002002018,t-11,1,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,1,0.935847598,0.07,0,0.994493539,1,1.63,0,0,0.935847598,0,2.57
8950,50,5002002018,t-14,0,1.733649662,0.01,0,0.736676232,0.01,1,0.833436341,0.01,1,0.904615247,0.02,1,0.991181727,1,0,0,0.833436341,0.904615247,0.991181727,2.73
9431,50,5002002008,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,1,0.49626506,0.22,1,0.418348624,1,0,0,0,0.49626506,0.418348624,0.91
9432,50,5002002008,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
9433,50,5002002008,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0,0,0,0,0.00
9434,50,5002002008,t-11,1,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,1,0.935847598,0.07,0,0.994493539,1,1.63,0,0,0.935847598,0,2.57
9435,50,5002002008,t-14,0,1.733649662,0.01,0,0.736676232,0.01,1,0.833436341,0.01,1,0.904615247,0.02,1,0.991181727,1,0,0,0.833436341,0.904615247,0.991181727,2.73
10556,50,5003001010,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,0,0.49626506,0.22,0,0.418348624,1,0,0,0,0,0,0.00
10557,50,5003001010,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
10558,50,5003001010,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,1,0.953866933,0.06,2,0.996738996,1,0,0,0,0.953866933,1.993477992,2.95
10559,50,5003001010,t-11,0,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,0,0.935847598,0.07,0,0.994493539,1,0,0,0,0,0,0.00
10560,50,5003001010,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,1,0.904615247,0.02,0,0.991181727,1,0,0,0,0.904615247,0,0.90
15226,50,5003001020,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,0,0.49626506,0.22,0,0.418348624,1,0,0,0,0,0,0.00
15227,50,5003001020,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
15228,50,5003001020,t-8,0,1.701830737,0.01,0,0.888154675,0.01,2,0.923089187,0.01,1,0.953866933,0.06,0,0.996738996,1,0,0,1.846178374,0.953866933,0,2.80
15229,50,5003001020,t-11,0,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,0,0.935847598,0.07,0,0.994493539,1,0,0,0,0,0,0.00
15230,50,5003001020,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,0,0.904615247,0.02,0,0.991181727,1,0,0,0,0,0,0.00
16291,50,5001001004,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,0,0.49626506,0.22,0,0.418348624,1,0,0,0,0,0,0.00
16292,50,5001001004,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
16293,50,5001001004,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0,0,0,0,0.00
16294,50,5001001004,t-11,0,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,0,0.935847598,0.07,0,0.994493539,1,0,0,0,0,0,0.00
16295,50,5001001004,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,0,0.904615247,0.02,0,0.991181727,1,0,0,0,0,0,0.00
17206,50,5002002023,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,1,0.49626506,0.22,0,0.418348624,1,0,0,0,0.49626506,0,0.50
17207,50,5002002023,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
17208,50,5002002023,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0,0,0,0,0.00
17209,50,5002002023,t-11,1,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,1,0.935847598,0.07,0,0.994493539,1,1.63,0,0,0.935847598,0,2.57
17210,50,5002002023,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,1,0.904615247,0.02,2,0.991181727,1,0,0,0,0.904615247,1.982363454,2.89
18276,50,5003002010,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,0,0.49626506,0.22,0,0.418348624,1,0,0,0,0,0,0.00
18277,50,5003002010,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
18278,50,5003002010,t-8,0,1.701830737,0.01,0,0.888154675,0.01,3,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0,2.769267561,0,0,2.77
18279,50,5003002010,t-11,0,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,0,0.935847598,0.07,0,0.994493539,1,0,0,0,0,0,0.00
18280,50,5003002010,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,0,0.904615247,0.02,0,0.991181727,1,0,0,0,0,0,0.00
18481,50,5002002020,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,1,0.49626506,0.22,1,0.418348624,1,0,0,0,0.49626506,0.418348624,0.91
18482,50,5002002020,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
18483,50,5002002020,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0,0,0,0,0.00
18484,50,5002002020,t-11,1,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,1,0.935847598,0.07,1,0.994493539,1,1.63,0,0,0.935847598,0.994493539,3.56
18485,50,5002002020,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,3,0.904615247,0.02,0,0.991181727,1,0,0,0,2.713845741,0,2.71
20496,50,5002002011,t-2,0,1.66298078,0.01,0,0.54064677,0.01,1,0.443545898,0.01,0,0.49626506,0.22,1,0.418348624,1,0,0,0.443545898,0,0.418348624,0.86
20497,50,5002002011,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
20498,50,5002002011,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0,0,0,0,0.00
20499,50,5002002011,t-11,1,1.630250706,0.01,0,0.820635654,0.01,1,0.883219081,0.01,0,0.935847598,0.07,1,0.994493539,1,1.63,0,0.883219081,0,0.994493539,3.51
20500,50,5002002011,t-14,0,1.733649662,0.01,0,0.736676232,0.01,1,0.833436341,0.01,2,0.904615247,0.02,1,0.991181727,1,0,0,0.833436341,1.809230494,0.991181727,3.63
20686,50,5001003012,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,0,0.49626506,0.22,0,0.418348624,1,0,0,0,0,0,0.00
20687,50,5001003012,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
20688,50,5001003012,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0,0,0,0,0.00
20689,50,5001003012,t-11,0,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,0,0.935847598,0.07,0,0.994493539,1,0,0,0,0,0,0.00
20690,50,5001003012,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,0,0.904615247,0.02,0,0.991181727,1,0,0,0,0,0,0.00
20856,50,5001004017,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,0,0.49626506,0.22,0,0.418348624,1,0,0,0,0,0,0.00
20857,50,5001004017,t-5,0,1.621756736,0.01,0,1.008875299,0.01,0,0.978677186,0.01,0,0.976901365,0.19,0,0.99806051,1,0,0,0,0,0,0.00
20858,50,5001004017,t-8,0,1.701830737,0.01,0,0.888154675,0.01,0,0.923089187,0.01,0,0.953866933,0.06,0,0.996738996,1,0,0,0,0,0,0.00
20859,50,5001004017,t-11,0,1.630250706,0.01,0,0.820635654,0.01,0,0.883219081,0.01,0,0.935847598,0.07,0,0.994493539,1,0,0,0,0,0,0.00
20860,50,5001004017,t-14,0,1.733649662,0.01,0,0.736676232,0.01,0,0.833436341,0.01,0,0.904615247,0.02,0,0.991181727,1,0,0,0,0,0,0.00
22026,50,5002001019,t-2,0,1.66298078,0.01,0,0.54064677,0.01,0,0.443545898,0.01,1,0.49626506,0.22,2,0.418348624,1,0,0,0,0.49626506,0.836697248,1.33
