ca, time, knox600ft, knox1200ft, knox1800ft, knox2400ft, knox3000ft, p600ft, p1200ft, p1800ft, p2400ft, p3000ft
ca1,1,1.594434577,0.925715334,1.081977023,0.908491418,0.992553382,0.01,0.09,0.09,0.23,0.25
ca1,4,1.361484099,1.114450918,1.19735051,1.111697508,1.067514039,0.01,0.02,0.01,0.01,0.04
ca1,7,1.126471476,1.050002838,1.125791928,1.066388748,1.004873581,0.01,0.01,0.01,0.01,0.05
ca1,10,1.447412077,1.116440416,1.15673402,1.050205426,0.983461996,0.01,0.01,0.01,0.02,0.01
ca1,13,1.08988764,1.044785691,1.080813472,0.999152571,0.963447309,0.01,0.03,0.01,0.01,0.02
ca2,1,1.851039261,0.887008498,1.199546952,0.868548387,0.898203361,0.01,0.08,0.01,0.2,0.35
ca2,4,1.083317187,1.054080903,1.082990489,1.036676272,1.052664675,0.02,0.03,0.04,0.02,0.03
ca2,7,1.124885047,1.044535284,1.020556669,0.997934154,1.003181444,0.01,0.05,0.07,0.15,0.08
ca2,10,1.28028169,1.087564633,1.03076986,1.031858768,1.013045478,0.01,0.01,0.04,0.03,0.16
ca2,13,0.585444903,1.022630878,0.968743758,1.009442729,0.990723859,0.09,0.01,0.22,0.06,0.1
ca3,1,1.86682243,1.005063291,1.033530572,1.079080025,0.825331126,0.01,0.06,0.12,0.13,0.18
ca3,4,1.298941799,1.086148649,1.043499511,1.077629485,0.981704576,0.03,0.03,0.13,0.02,0.31
ca3,7,1.29862069,0.994169096,0.989413322,1.039083429,0.977906801,0.01,0.12,0.2,0.12,0.19
ca3,10,1.267969735,0.97981748,1.034195726,1.067854572,1.008587089,0.01,0.09,0.17,0.06,0.17
ca3,13,1.408792651,1.032587135,1.02146257,1.040124505,0.956070094,0.01,0.02,0.13,0.12,0.28
ca4,1,1.944547135,0.655607477,0.816678648,0.887607296,0.835947712,0.02,0.33,0.54,0.68,0.87
ca4,4,1.381558029,0.91406478,0.891289726,0.949216087,0.900396651,0.03,0.25,0.81,0.77,0.96
ca4,7,0.93956044,0.82952468,0.910315835,0.992871455,0.984681694,0.02,0.58,0.78,0.72,0.8
ca4,10,0.798798799,0.84868607,0.947871527,1.008126195,0.988833529,0.11,0.66,0.82,0.67,0.75
ca4,13,1.219204656,0.903660259,0.985272865,1.026942907,0.998881432,0.06,0.76,0.75,0.61,0.67
ca5,1,1.938947368,1.333850932,0.708996987,0.865064695,1.047535894,0.01,0.01,0.08,0.2,0.21
ca5,4,0.589863184,1.020598772,0.941980607,0.978860152,0.992979348,0.31,0.05,0.18,0.31,0.33
ca5,7,0.717622708,0.991626694,0.957405361,0.951537819,0.954182841,0.69,0.4,0.42,0.5,0.7
ca5,10,0.782074341,0.975678911,0.9483978,0.949043764,0.966733665,0.83,0.71,0.72,0.84,0.8
ca5,13,0.702902844,0.909034745,0.927663404,1.003094059,0.987914056,0.93,0.99,0.98,0.69,0.82
ca6,1,1.638193845,0.896950363,1.042363724,1.210103982,0.928712895,0.01,0.06,0.12,0.01,0.05
ca6,4,0.997882353,0.966453444,0.984817405,0.994309753,0.959927127,0.01,0.21,0.36,0.33,0.36
ca6,7,0.973137109,0.979076667,0.987440174,1.006971141,0.991185044,0.07,0.25,0.46,0.39,0.47
ca6,10,0.912082958,0.976068088,0.980449531,1.000236121,1.000291086,0.19,0.43,0.55,0.51,0.35
ca6,13,1.342840608,0.997396203,0.997660568,1.008688991,1.002809542,0.03,0.37,0.42,0.45,0.37
ca7,1,2.9651433,0.8221589,1.071004706,1.353664378,1.003948916,0.01,0.02,0.01,0.01,0.01
ca7,4,1.483772432,1.087591241,1.046956485,1.089886539,1.020470522,0.01,0.01,0.04,0.01,0.03
ca7,7,1.25216877,1.016627013,1.004998188,1.042067677,1.011954126,0.01,0.01,0.04,0.03,0.01
ca7,10,0.851320056,0.99512517,1.008065881,1.012455548,1.017773589,0.01,0.01,0.05,0.1,0.02
ca7,13,1.261996904,1.024467029,0.989325575,0.972012182,1.026933447,0.01,0.01,0.1,0.18,0.05
ca8,1,1.185840708,0.633598841,1.020423892,0.911246612,0.937483302,0.23,0.67,0.59,0.72,0.83
ca8,4,1.20674551,0.910357935,1.090916881,0.98493738,0.976856967,0.09,0.68,0.18,0.67,0.85
ca8,7,1.046618647,0.919954476,1.070724087,0.97981751,1.008914741,0.13,0.43,0.23,0.34,0.5
ca8,10,1.181301327,0.953918391,1.055225742,0.991715308,1.010310869,0.06,0.36,0.28,0.3,0.39
ca8,13,1.342517401,0.973358349,1.064999596,1.002572082,0.996368039,0.03,0.26,0.21,0.26,0.35
ca9,1,-0.033333333,0.1,-0.1,0.466666667,0.233333333,0.94,0.91,0.92,0.95,0.82
ca9,4,0.5,0.583333333,1.2,1.217391304,1.441860465,0.73,0.98,0.37,0.35,0.17
ca9,7,0.9,1.411764706,1.589285714,1.181818182,1.238095238,0.69,0.33,0.21,0.3,0.19
ca9,10,1,1.45,1.346153846,1.655172414,1.573529412,0.55,0.46,0.16,0.08,0.08
ca9,13,0.916666667,1.166666667,1.675,1.5,1.146341463,0.55,0.56,0.08,0.08,0.12
ca10,1,7.711864407,0.566371681,1.052924791,1.338235294,0.479859895,0.01,0.01,0.01,0.01,0.01
ca10,4,1.297826087,0.903245192,1.170550847,1.242863322,1.090492204,0.01,0.01,0.01,0.01,0.01
